Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
46,多頭出場,2023-03-10 13:10,EXIT_TIME|XRD=-0.1425|BH=2,29.55,1,29.55,0,0.00,0.05,0.17,0,0.00,0.45,0.00
46,多頭進場,2023-03-10 13:00,ENTRY|RD=-0.213|VR=1.8769|S1=-0.039|S3=-0.1078|E5=0|E15=0|T5=0.0391|T15=0.1082|RV10=0.0228|MSO=235|MTC=35|SID=5|SCT=1|HP=1,29.55,1,29.55,0,0.00,0.05,0.17,0,0.00,0.45,0.00
47,多頭出場,2023-03-16 11:55,EXIT_REVERSION|XRD=0.8513|BH=1,29.15,1,29.15,0,0.00,0.05,0.17,0,0.00,0.45,0.00
47,多頭進場,2023-03-16 11:50,ENTRY|RD=-0.2995|VR=4.0636|S1=-0.1284|S3=-0.4279|E5=-0.1286|E15=-0.4274|T5=0|T15=0|RV10=0.0711|MSO=165|MTC=105|SID=4|SCT=1|HP=0,29.15,1,29.15,0,0.00,0.05,0.17,0,0.00,0.45,0.00
48,多頭出場,2023-03-20 11:45,EXIT_TIME|XRD=-0.122|BH=2,29.5,1,29.5,0,0.00,0.05,0.17,0,0.00,0.45,0.00
48,多頭進場,2023-03-20 11:35,ENTRY|RD=-0.2338|VR=5.396|S1=-0.1013|S3=0.0204|E5=-0.1271|E15=-0.2116|T5=-0.0252|T15=-0.2315|RV10=0.0703|MSO=150|MTC=120|SID=4|SCT=1|HP=0,29.5,1,29.5,0,0.00,0.05,0.17,0,0.00,0.45,0.00
49,多頭出場,2023-03-20 12:15,EXIT_REVERSION|XRD=-0.0384|BH=1,29.5,1,29.5,0,0.00,0,0.00,0,0.00,0.45,0.00
49,多頭進場,2023-03-20 12:10,ENTRY|RD=-0.2078|VR=1.9048|S1=-0.1969|S3=-0.0085|E5=-0.0847|E15=-0.0847|T5=0.1132|T15=-0.076|RV10=0.071|MSO=185|MTC=85|SID=4|SCT=2|HP=0,29.5,1,29.5,0,0.00,0,0.00,0,0.00,0.45,0.00
50,多頭出場,2023-03-20 12:55,EXIT_TIME|XRD=-0.19|BH=2,29.5,1,29.5,0,0.00,0,0.00,-0.05,-0.17,0.45,0.00
50,多頭進場,2023-03-20 12:45,ENTRY|RD=-0.2216|VR=1.6563|S1=-0.1009|S3=-0.1974|E5=-0.0424|E15=-0.127|T5=0.0591|T15=0.0713|RV10=0.06|MSO=220|MTC=50|SID=4|SCT=3|HP=0,29.5,1,29.5,0,0.00,0,0.00,-0.05,-0.17,0.45,0.00
51,多頭出場,2023-05-17 12:50,EXIT_TIME|XRD=-0.1373|BH=2,30.15,1,30.15,0,0.00,0.05,0.17,-0.05,-0.17,0.45,0.00
51,多頭進場,2023-05-17 12:40,ENTRY|RD=-0.2159|VR=3.0717|S1=-0.116|S3=-0.2316|E5=-0.1243|E15=0.0831|T5=-0.01|T15=0.3119|RV10=0.0776|MSO=215|MTC=55|SID=4|SCT=1|HP=0,30.15,1,30.15,0,0.00,0.05,0.17,-0.05,-0.17,0.45,0.00
52,多頭出場,2023-05-17 13:05,EXIT_TIME|XRD=-0.1519|BH=2,30.15,1,30.15,0,0.00,0.05,0.17,0,0.00,0.45,0.00
52,多頭進場,2023-05-17 12:55,ENTRY|RD=-0.2367|VR=3.481|S1=-0.0994|S3=-0.0208|E5=0.083|E15=0.083|T5=0.1808|T15=0.1033|RV10=0.0753|MSO=230|MTC=40|SID=5|SCT=2|HP=1,30.15,1,30.15,0,0.00,0.05,0.17,0,0.00,0.45,0.00
53,多頭出場,2023-05-19 11:00,EXIT_TIME|XRD=-0.1477|BH=2,30.65,1,30.6,0.05,0.16,0.05,0.16,0,0.00,0.5,0.00
53,多頭進場,2023-05-19 10:50,ENTRY|RD=-0.2019|VR=4.2959|S1=-0.062|S3=-0.095|E5=-0.0816|E15=-0.0816|T5=-0.0196|T15=0.0134|RV10=0.0812|MSO=105|MTC=165|SID=4|SCT=1|HP=0,30.6,1,30.6,0.05,0.16,0.05,0.16,0,0.00,0.5,0.00
54,多頭出場,2023-05-24 09:35,EXIT_REVERSION|XRD=-0.011|BH=1,30.4,1,30.4,0,0.00,0,0.00,-0.05,-0.16,0.5,0.00
