Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
78,多頭進場,2023-10-23 12:35,Long 0050,30.95,1,30.95,0,0.00,0,0.00,0,0.00,0.7,0.00
79,多頭出場,2023-10-24 09:20,Close entry(s) order Long 0050,30.9,1,30.95,-0.05,-0.16,0,0.00,-0.05,-0.16,0.65,0.00
79,多頭進場,2023-10-24 09:10,Long 0050,30.95,1,30.95,-0.05,-0.16,0,0.00,-0.05,-0.16,0.65,0.00
80,多頭出場,2023-11-24 09:50,Close entry(s) order Long 0050,32.85,1,32.85,0,0.00,0,0.00,-0.05,-0.15,0.65,0.00
80,多頭進場,2023-11-24 09:40,Long 0050,32.85,1,32.85,0,0.00,0,0.00,-0.05,-0.15,0.65,0.00
81,多頭出場,2023-11-24 11:45,Close entry(s) order Long 0050,32.85,1,32.85,0,0.00,0,0.00,-0.05,-0.15,0.65,0.00
81,多頭進場,2023-11-24 11:35,Long 0050,32.85,1,32.85,0,0.00,0,0.00,-0.05,-0.15,0.65,0.00
82,多頭出場,2023-11-24 12:10,Close entry(s) order Long 0050,32.85,1,32.85,0,0.00,0,0.00,-0.05,-0.15,0.65,0.00
82,多頭進場,2023-11-24 12:00,Long 0050,32.85,1,32.85,0,0.00,0,0.00,-0.05,-0.15,0.65,0.00
83,多頭出場,2023-11-24 12:30,Close entry(s) order Long 0050,32.8,1,32.8,0,0.00,0,0.00,-0.05,-0.15,0.65,0.00
83,多頭進場,2023-11-24 12:20,Long 0050,32.8,1,32.8,0,0.00,0,0.00,-0.05,-0.15,0.65,0.00
84,多頭出場,2024-01-08 09:45,Close entry(s) order Long 0050,33.35,1,33.4,-0.05,-0.15,0,0.00,-0.05,-0.15,0.6,0.00
84,多頭進場,2024-01-08 09:35,Long 0050,33.4,1,33.4,-0.05,-0.15,0,0.00,-0.05,-0.15,0.6,0.00
85,多頭出場,2024-01-08 12:40,Close entry(s) order Long 0050,33.25,1,33.25,0,0.00,0,0.00,0,0.00,0.6,0.00
85,多頭進場,2024-01-08 12:30,Long 0050,33.25,1,33.25,0,0.00,0,0.00,0,0.00,0.6,0.00
86,多頭出場,2024-01-15 09:35,Close entry(s) order Long 0050,33.3,1,33.25,0.05,0.15,0.05,0.15,0,0.00,0.65,0.00
86,多頭進場,2024-01-15 09:25,Long 0050,33.25,1,33.25,0.05,0.15,0.05,0.15,0,0.00,0.65,0.00
87,多頭出場,2024-01-17 10:10,Close entry(s) order Long 0050,32,1,32,0,0.00,0,0.00,0,0.00,0.65,0.00
87,多頭進場,2024-01-17 10:00,Long 0050,32,1,32,0,0.00,0,0.00,0,0.00,0.65,0.00
88,多頭出場,2024-01-17 11:30,Close entry(s) order Long 0050,31.95,1,31.95,0,0.00,0.05,0.16,0,0.00,0.65,0.00
88,多頭進場,2024-01-17 11:20,Long 0050,31.95,1,31.95,0,0.00,0.05,0.16,0,0.00,0.65,0.00
89,多頭出場,2024-01-17 12:05,Close entry(s) order Long 0050,31.9,1,31.9,0,0.00,0.05,0.16,0,0.00,0.65,0.00
89,多頭進場,2024-01-17 11:55,Long 0050,31.9,1,31.9,0,0.00,0.05,0.16,0,0.00,0.65,0.00
90,多頭出場,2024-01-25 10:35,Close entry(s) order Long 0050,33.9,1,33.9,0,0.00,0,0.00,-0.05,-0.15,0.65,0.00
90,多頭進場,2024-01-25 10:25,Long 0050,33.9,1,33.9,0,0.00,0,0.00,-0.05,-0.15,0.65,0.00
91,多頭出場,2024-03-27 13:05,Close entry(s) order Long 0050,39.4,1,39.45,-0.05,-0.13,0,0.00,-0.05,-0.13,0.6,0.00
91,多頭進場,2024-03-27 12:55,Long 0050,39.45,1,39.45,-0.05,-0.13,0,0.00,-0.05,-0.13,0.6,0.00
92,多頭出場,2024-04-30 11:55,Close entry(s) order Long 0050,39.8,1,39.8,0,0.00,0,0.00,0,0.00,0.6,0.00
92,多頭進場,2024-04-30 11:45,Long 0050,39.8,1,39.8,0,0.00,0,0.00,0,0.00,0.6,0.00
93,多頭出場,2024-04-30 12:15,Close entry(s) order Long 0050,39.8,1,39.8,0,0.00,0,0.00,0,0.00,0.6,0.00
93,多頭進場,2024-04-30 12:05,Long 0050,39.8,1,39.8,0,0.00,0,0.00,0,0.00,0.6,0.00
94,多頭出場,2024-04-30 12:35,Close entry(s) order Long 0050,39.8,1,39.8,0,0.00,0,0.00,0,0.00,0.6,0.00
94,多頭進場,2024-04-30 12:25,Long 0050,39.8,1,39.8,0,0.00,0,0.00,0,0.00,0.6,0.00
95,多頭出場,2024-05-07 10:00,Close entry(s) order Long 0050,40,1,40.05,-0.05,-0.12,0,0.00,-0.05,-0.12,0.55,0.00
95,多頭進場,2024-05-07 09:50,Long 0050,40.05,1,40.05,-0.05,-0.12,0,0.00,-0.05,-0.12,0.55,0.00
96,多頭出場,2024-05-07 10:25,Close entry(s) order Long 0050,39.95,1,39.9,0.05,0.13,0.05,0.13,0,0.00,0.6,0.00
96,多頭進場,2024-05-07 10:20,Long 0050,39.9,1,39.9,0.05,0.13,0.05,0.13,0,0.00,0.6,0.00
97,多頭出場,2024-05-07 10:40,Close entry(s) order Long 0050,40.05,1,40.05,0,0.00,0,0.00,-0.05,-0.12,0.6,0.00
97,多頭進場,2024-05-07 10:35,Long 0050,40.05,1,40.05,0,0.00,0,0.00,-0.05,-0.12,0.6,0.00
98,多頭出場,2024-05-07 12:40,Close entry(s) order Long 0050,40.05,1,40,0.05,0.13,0.05,0.13,0,0.00,0.65,0.00
98,多頭進場,2024-05-07 12:30,Long 0050,40,1,40,0.05,0.13,0.05,0.13,0,0.00,0.65,0.00
